variant,actual_bucket,predicted_bucket,count
official_promoted,0-24h,0-24h,25
official_promoted,0-24h,1-3d,10
official_promoted,0-24h,3-7d,0
official_promoted,1-3d,0-24h,17
official_promoted,1-3d,1-3d,31
official_promoted,1-3d,3-7d,0
official_promoted,3-7d,0-24h,3
official_promoted,3-7d,1-3d,0
official_promoted,3-7d,3-7d,0
wide_tuned_validation_selected,0-24h,0-24h,15
wide_tuned_validation_selected,0-24h,1-3d,20
wide_tuned_validation_selected,0-24h,3-7d,0
wide_tuned_validation_selected,1-3d,0-24h,11
wide_tuned_validation_selected,1-3d,1-3d,37
wide_tuned_validation_selected,1-3d,3-7d,0
wide_tuned_validation_selected,3-7d,0-24h,3
wide_tuned_validation_selected,3-7d,1-3d,0
wide_tuned_validation_selected,3-7d,3-7d,0
