split,row_count,normal_count,pre_fault_count,roc_auc,average_precision,precision,recall,f1,false_positive_rate,method
train,1770,1263,507,0.6171368067951295,0.40602245437606904,0.5789473684210527,0.04339250493096647,0.08073394495412844,0.012668250197941409,iforest
train,1770,1263,507,0.8232066976813917,0.7348910657706942,0.9386792452830188,0.39250493096646943,0.5535465924895688,0.010292953285827395,mahalanobis
train,1770,1263,507,0.7828204035037583,0.70225647171367,0.8903508771929824,0.40039447731755423,0.5523809523809524,0.01979414093428345,ensemble_any
train,1770,1263,507,0.7828204035037583,0.70225647171367,0.8181818181818182,0.03550295857988166,0.06805293005671077,0.003167062549485352,ensemble_strong
train,1770,1263,507,0.7828204035037583,0.70225647171367,0.7365269461077845,0.24260355029585798,0.3649851632047478,0.03483768804433888,ensemble_criticality
validation,362,243,119,0.6103676038316561,0.4684453457652195,0.0,0.0,0.0,0.0,iforest
validation,362,243,119,0.4605249507210292,0.3471098909893535,0.5833333333333334,0.058823529411764705,0.10687022900763359,0.0205761316872428,mahalanobis
validation,362,243,119,0.5183110281149497,0.3694881559870742,0.5833333333333334,0.058823529411764705,0.10687022900763359,0.0205761316872428,ensemble_any
validation,362,243,119,0.5183110281149497,0.3694881559870742,0.0,0.0,0.0,0.0,ensemble_strong
validation,362,243,119,0.5183110281149497,0.3694881559870742,0.0,0.0,0.0,0.0,ensemble_criticality
holdout,394,261,133,0.7176562094892402,0.6936103232143299,1.0,0.12781954887218044,0.22666666666666666,0.0,iforest
holdout,394,261,133,0.6496989600437876,0.6005061044456143,0.6271186440677966,0.2781954887218045,0.3854166666666667,0.0842911877394636,mahalanobis
holdout,394,261,133,0.6697202777057586,0.6153622408127448,0.6271186440677966,0.2781954887218045,0.3854166666666667,0.0842911877394636,ensemble_any
holdout,394,261,133,0.6697202777057586,0.6153622408127448,1.0,0.12781954887218044,0.22666666666666666,0.0,ensemble_strong
holdout,394,261,133,0.6697202777057586,0.6153622408127448,1.0,0.11278195488721804,0.20270270270270271,0.0,ensemble_criticality
