split,policy,total_fault_events,detected_fault_events,event_recall,detected_24h_events,detected_3d_events,detected_7d_events,event_recall_24h,event_recall_3d,event_recall_7d,median_first_alarm_lead_hours,mean_first_alarm_lead_hours
holdout,iforest_point,13,3,0.23076923076923078,3,3,3,0.23076923076923078,0.23076923076923078,0.23076923076923078,10.633333333332777,30.63333333333324
train,iforest_point,48,5,0.10416666666666667,3,5,5,0.0625,0.10416666666666667,0.10416666666666667,63.71666666666694,70.41333333333304
validation,iforest_point,10,0,0.0,0,0,0,0.0,0.0,0.0,,
holdout,mahalanobis_point,13,8,0.6153846153846154,7,8,8,0.5384615384615384,0.6153846153846154,0.6153846153846154,23.69166666666639,34.83690972222216
train,mahalanobis_point,48,35,0.7291666666666666,22,35,35,0.4583333333333333,0.7291666666666666,0.7291666666666666,66.06666666666695,57.882531746031646
validation,mahalanobis_point,10,5,0.5,2,5,5,0.2,0.5,0.5,68.0,47.44333333333333
holdout,ensemble_any,13,8,0.6153846153846154,7,8,8,0.5384615384615384,0.6153846153846154,0.6153846153846154,23.69166666666639,34.83690972222216
train,ensemble_any,48,35,0.7291666666666666,23,35,35,0.4791666666666667,0.7291666666666666,0.7291666666666666,66.06666666666695,58.053960317460216
validation,ensemble_any,10,5,0.5,2,5,5,0.2,0.5,0.5,68.0,47.44333333333333
holdout,ensemble_strong,13,3,0.23076923076923078,3,3,3,0.23076923076923078,0.23076923076923078,0.23076923076923078,10.633333333332777,30.63333333333324
train,ensemble_strong,48,5,0.10416666666666667,2,5,5,0.041666666666666664,0.10416666666666667,0.10416666666666667,63.71666666666694,69.21333333333305
validation,ensemble_strong,10,0,0.0,0,0,0,0.0,0.0,0.0,,
holdout,ensemble_criticality,13,2,0.15384615384615385,2,2,2,0.15384615384615385,0.15384615384615385,0.15384615384615385,45.43333333333347,45.43333333333347
train,ensemble_criticality,48,11,0.22916666666666666,11,11,11,0.22916666666666666,0.22916666666666666,0.22916666666666666,58.00416666666694,63.9540151515152
validation,ensemble_criticality,10,0,0.0,0,0,0,0.0,0.0,0.0,,
holdout,raw_ae_q999_c32,13,4,0.3076923076923077,4,4,4,0.3076923076923077,0.3076923076923077,0.3076923076923077,35.897638888888885,39.37381944444438
train,raw_ae_q999_c32,48,12,0.25,12,12,12,0.25,0.25,0.25,64.33333333333347,60.93009259259241
validation,raw_ae_q999_c32,10,0,0.0,0,0,0,0.0,0.0,0.0,,
holdout,raw_ae_union,13,5,0.38461538461538464,5,5,5,0.38461538461538464,0.38461538461538464,0.38461538461538464,28.0,38.299055555555505
train,raw_ae_union,48,12,0.25,12,12,12,0.25,0.25,0.25,64.33333333333347,59.93009259259241
validation,raw_ae_union,10,0,0.0,0,0,0,0.0,0.0,0.0,,
holdout,ensemble_criticality_and_raw_ae,13,2,0.15384615384615385,2,2,2,0.15384615384615385,0.15384615384615385,0.15384615384615385,45.43333333333347,45.43333333333347
train,ensemble_criticality_and_raw_ae,48,6,0.125,6,6,6,0.125,0.125,0.125,52.891666666666936,76.34999999999991
validation,ensemble_criticality_and_raw_ae,10,0,0.0,0,0,0,0.0,0.0,0.0,,
holdout,ensemble_criticality_or_raw_ae,13,4,0.3076923076923077,4,4,4,0.3076923076923077,0.3076923076923077,0.3076923076923077,35.897638888888885,39.37381944444438
train,ensemble_criticality_or_raw_ae,48,17,0.3541666666666667,17,17,17,0.3541666666666667,0.3541666666666667,0.3541666666666667,63.71666666666694,57.444428104575096
validation,ensemble_criticality_or_raw_ae,10,0,0.0,0,0,0,0.0,0.0,0.0,,
