split,policy,alarm_rows,precision,recall,f1,false_positive_rate
holdout,ensemble_criticality,15,1.0,0.11278195488721804,0.20270270270270271,0.0
holdout,raw_ae_q999_c32,28,1.0,0.21052631578947367,0.34782608695652173,0.0
holdout,raw_ae_union,34,1.0,0.2556390977443609,0.40718562874251496,0.0
holdout,ensemble_criticality_and_raw_ae,15,1.0,0.11278195488721804,0.20270270270270271,0.0
holdout,ensemble_criticality_or_raw_ae,28,1.0,0.21052631578947367,0.34782608695652173,0.0
train,ensemble_criticality,167,0.7365269461077845,0.24260355029585798,0.3649851632047478,0.03483768804433888
train,raw_ae_q999_c32,122,1.0,0.2406311637080868,0.38791732909379967,0.0
train,raw_ae_union,124,1.0,0.2445759368836292,0.393026941362916,0.0
train,ensemble_criticality_and_raw_ae,78,1.0,0.15384615384615385,0.26666666666666666,0.0
train,ensemble_criticality_or_raw_ae,211,0.7914691943127962,0.32938856015779094,0.46518105849582175,0.03483768804433888
validation,ensemble_criticality,0,0.0,0.0,0.0,0.0
validation,raw_ae_q999_c32,0,0.0,0.0,0.0,0.0
validation,raw_ae_union,28,0.0,0.0,0.0,0.11522633744855967
validation,ensemble_criticality_and_raw_ae,0,0.0,0.0,0.0,0.0
validation,ensemble_criticality_or_raw_ae,0,0.0,0.0,0.0,0.0
