variant,feature,importance
v3_lgbm_guarded,risk_probability,909
v3_lgbm_guarded,anomaly_score,575
v3_lgbm_guarded,days_since_last_task_event,405
v3_lgbm_guarded,days_since_last_any_event,374
v3_lgbm_guarded,history_adjustment_score,92
v3_lgbm_guarded,risk_score,67
v3_lgbm_guarded,manufacturer_manufacturer 1,62
v3_lgbm_guarded,risk_base_score,51
v3_lgbm_guarded,anomaly_component_score,30
v3_lgbm_guarded,risk_level_calibrated_critical,7
v3_lgbm_guarded,manufacturer_manufacturer 2,6
v3_lgbm_guarded,days_since_last_fault_event,1
v3_lgbm_guarded,risk_level_calibrated_low,1
v3_lgbm_guarded,risk_probability_component_score,0
v3_lgbm_guarded,risk_level_calibrated_high,0
v3_lgbm_guarded,risk_level_calibrated_medium,0
v3_lgbm_leak_diagnostic,leadtime_component_score,435
v3_lgbm_leak_diagnostic,leadtime_prob_1-3d,248
v3_lgbm_leak_diagnostic,leadtime_prob_0-24h,104
v3_lgbm_leak_diagnostic,predicted_lead_time_bucket_missing,32
v3_lgbm_leak_diagnostic,predicted_lead_time_bucket_1-3d,13
v3_lgbm_leak_diagnostic,leadtime_prob_3-7d,9
v3_lgbm_leak_diagnostic,predicted_lead_time_bucket_3-7d,8
v3_lgbm_leak_diagnostic,risk_probability,2
v3_lgbm_leak_diagnostic,predicted_lead_time_confidence,0
v3_lgbm_leak_diagnostic,risk_score,0
v3_lgbm_leak_diagnostic,anomaly_score,0
v3_lgbm_leak_diagnostic,lead_time_bucket_distance,0
v3_lgbm_leak_diagnostic,risk_base_score,0
v3_lgbm_leak_diagnostic,days_since_last_any_event,0
v3_lgbm_leak_diagnostic,days_since_last_task_event,0
v3_lgbm_leak_diagnostic,days_since_last_fault_event,0
v3_lgbm_leak_diagnostic,anomaly_component_score,0
v3_lgbm_leak_diagnostic,risk_probability_component_score,0
v3_lgbm_leak_diagnostic,leadtime_bucket_base_score,0
v3_lgbm_leak_diagnostic,leadtime_confidence_multiplier,0
v3_lgbm_leak_diagnostic,manufacturer_manufacturer 2,0
v3_lgbm_leak_diagnostic,manufacturer_manufacturer 1,0
v3_lgbm_leak_diagnostic,history_adjustment_score,0
v3_lgbm_leak_diagnostic,risk_level_calibrated_critical,0
v3_lgbm_leak_diagnostic,risk_level_calibrated_medium,0
v3_lgbm_leak_diagnostic,risk_level_calibrated_low,0
v3_lgbm_leak_diagnostic,risk_level_calibrated_high,0
v3_lgbm_leak_diagnostic,predicted_lead_time_bucket_0-24h,0
